word,count
φιλία,739
ἀγών,738
φράζω,734
ἄρσην,732
ψευδής,728
καρπός,727
θαυμάζω,726
ὄψις,725
διαλέγω,725
φλέψ,724
λείπω,721
συμφορά,719
φωνή,719
ἄπειρος,716
ὠφελέω,715
Φίλιππος,712
πιστεύω,711
μιμνῄσκω,708
ὁρίζω,705
ἐπιδείκνυμι,700
τολμάω,697
βαρύς,696
ἄδικος,694
διαιρέω,693
δόμος,692
Ἀργεῖος,688
βραχύς,686
βουλή,685
ἀργύριον,684
θῆλυς,684
μάχομαι,683
θεῖος,682
ὥρα,681
Θηβαῖος,680
τάξις,680
σκέπτομαι,678
θυγάτηρ,678
κινδυνεύω,677
ὀφθαλμός,676
ἔσχατος,676
ἐμβάλλω,669
στράτευμα,669
ὕστερος,667
δοῦλος,666
πολεμέω,664
πέντε,664
διέρχομαι,664
σιτίον,664
ἑκών,660
αὐξάνω,658
δεξιός,658
στρατιά,654
βία,652
στρατεύω,650
χωρέω,649
ἐπιμελέομαι,648
δεῖ,648
ἀφίστημι,647
μεταβολή,645
ἐπέρχομαι,642
φόβος,640
ἀλήθεια,640
φάρμακον,640
ἀναιρέω,638
διώκω,638
παλαιός,635
δέκα,629
ἐλεύθερος,629
κομίζω,627
κατέχω,626
διάνοια,625
ξύλον,624
ἐλπίς,623
ἀποδείκνυμι,614
δείδω,613
ἐπιτήδειος,613
ὁρμάω,609
ῥέω,609
ἁμαρτάνω,608
νῆσος,604
ἅπτω,603
χρῶμα,601
ἁλίσκομαι,597
σκέλος,596
πυκνός,595
στρατός,593
κτείνω,593
φάσκω,593
ἀσθενής,588
τριάκοντα,587
πεζός,582
ἰατρός,580
βλάπτω,579
τρίβω,579
πατρίς,575
δικαστήριον,574
ἀγνοέω,571
παρέρχομαι,571
πολιτικός,570
τρέπω,569
ἀπορέω,568
ῥίζα,563
ἐνέργεια,562
σωτηρία,561
ἀπέχω,560
φύλλον,560
λύπη,559
προσέρχομαι,558
ἕλκω,557
ἐπιθυμία,557
προλέγω,556
προστάσσω,556
ψήφισμα,554
συμβουλεύω,553
γλῶσσα,552
βλέπω,552
γαστήρ,551
θεωρέω,549
μείς,548
μείγνυμι,546
τύραννος,545
σῖτος,544
ἥκιστος,543
ἡλικία,542
συνεχής,542
κατασκευάζω,540
πίπτω,539
χρηστός,536
ὄρνις,536
ἄτοπος,535
δικαιοσύνη,535
σύμπας,534
τάλαντον,532
ἐσθίω,532
ψεύδω,531
παχύς,531
ὄμμα,529
δεσπότης,528
ἀπορία,527
θύω,527
ὑγιής,527
κύων,527
φθείρω,524
λίθος,524
ἕξις,524
ἥμισυς,523
διορίζω,522
στρατιώτης,521
ἔρομαι,518
μήτρα,518
καθαίρω,517
μέλι,517
καταλαμβάνω,514
κρίσις,514
ὄρος,513
ἐγγίγνομαι,511
εἴκοσι,511
οἴχομαι,511
ἐξαπατάω,506
στοιχεῖον,505
προσφέρω,504
ψηφίζω,503
γλυκύς,501
οὖς,500
ἐπιγίγνομαι,498
ὑπόκειμαι,494
τέμνω,493
ἄστρον,493
θεραπεύω,491
ἕλκος,490
ὑπομένω,489
ἀναγιγνώσκω,489
πονέω,488
σκληρός,485
παραγίγνομαι,483
παιδίον,480
καθαρός,479
ἔπος,478
χθών,477
λαγχάνω,475
νέμω,473
ὅρκος,473
γράμμα,473
οὐρανός,473
ὁπλίτης,472
ἀποφαίνω,472
ἦθος,472
σοφία,470
ὀργή,468
κενός,466
μαρτυρία,466
σαφής,465
θέρος,464
ἀμύνω,461
φρήν,461
στρατόπεδον,458
ἀκολουθέω,456
εὐδαίμων,455
συλλέγω,453
ἀμφισβητέω,453
δικάζω,452
φυλακή,452
πρότασις,452
παραλαμβάνω,450
ἐνιαυτός,449
φόνος,448
ὄμνυμι,448
λυπέω,447
ἴσχω,447
ποιητής,446
συγγενής,446
μῆκος,445
ἀλλότριος,445
ἔλαιον,445
φρόνησις,444
προσέχω,443
δημοκρατία,442
γάλα,442
πλοῖον,441
πιστός,440
νοσέω,440
πρέπω,439
ἐπιτίθημι,437
ὕπνος,436
λεῖος,436
τάλας,436
σπουδαῖος,436
τεκμήριον,435
αἰσχύνω,435
δαίμων,435
μισέω,434
καρδία,433
αἰσθητός,433
ἀνίστημι,432
ἀγορά,432
Αἴγυπτος,432
πρόγονος,432
νομοθέτης,432
ἀριστερός,430
καίω,428
βάλλω,427
συμβάλλω,427
ἀπόδειξις,426
δένδρον,424
τιμωρέω,423
ἑπτά,423
ἀνδρεῖος,423
ὀφείλω,422
βαδίζω,422
ὀνομάζω,421
σώφρων,421
εἴωθα,421
χολή,421
νεκρός,420
Αἰγύπτιος,420
ἐκβάλλω,420
δημόσιος,418
φάος,418
ὑπερβολή,418
ὑγίεια,418
παιδεύω,417
ὑπερβάλλω,417
σπέρμα,417
ἄγριος,417
ἰδιώτης,414
ἀποστερέω,412
ἐλάσσων,412
προέρχομαι,410
φορά,410
ἐμπίπτω,410
συγχωρέω,409
κοῦφος,407
ἁπλόος,404
τριήρης,403
αἰτέω,403
Κορίνθιος,402
ἄκρον,402
στάδιον,402
ψῆφος,401
διάκειμαι,401
διεξέρχομαι,401
ἰατρικός,401
θαυμαστός,400
βοῦς,400
βροτός,397
ψεῦδος,397
τέταρτος,396
μαλακός,396
ὑγιαίνω,395
γέρων,395
μέτριος,392
ἀρχαῖος,392
λιμήν,392
ἡσυχία,392
ἐκπίπτω,391
ἡγεμών,391
διαπράσσω,391
μνᾶ,391
διανοέω,389
ὀλιγαρχία,389
ἐπιτρέπω,388
πλούσιος,387
μισθός,386
ἐπισκοπέω,386
ὑβρίζω,385
ἰδέα,385
ἀναλίσκω,385
κάθημαι,385
ἔθνος,384
πλοῦτος,384
ἀνάγω,384
θερμαίνω,382
πρόφασις,381
σωφροσύνη,378
ἀνδρεία,378
φλέγμα,378
τέλειος,377
πόσος,377
κολάζω,376
δάκτυλος,375
νοέω,374
ἀσφαλής,373
ἐπιμέλεια,373
τόκος,373
Δημοσθένης,372
ἀναβαίνω,371
μιμέομαι,371
ἐφίστημι,371
ἥδομαι,370
ἀπολείπω,369
πόρος,369
τηλικοῦτος,369
λογίζομαι,367
ἐλαύνω,367
λούω,367
μυρίος,365
θεάομαι,365
Δαρεῖος,364
πύλη,362
κλῆρος,362
κόσμος,361
Ἀθῆναι,361
βλώσκω,361
ἐπιβουλεύω,360
γάμος,360
ἀδελφή,358
γεννάω,358
προδίδωμι,357
ἀπάγω,356
χαρίζω,356
θαρσέω,356
προαιρέω,356
χίλιοι,355
πατρῷος,355
Πελοποννήσιος,354
δίαιτα,354
ἄναξ,353
βάρος,353
ἰχθῦς,353
ἄστυ,352
σύνειμι,352
ἄρθρον,352
τάχος,351
ἐκλείπω,350
εἰσάγω,350
διαλύω,349
Συρακούσιος,349
παιδεία,348
εὔχομαι,348
κόρη,348
ἐνθυμέομαι,347
ἔρως,347
ἁρμόζω,347
ἀπείρων,347
Μῆδος,346
ἀντιλέγω,346
διατελέω,346
νόσημα,346
ἐξελέγχω,346
Βοιωτός,344
ὀσμή,343
θηρίον,343
ἀντίκειμαι,343
δύω,342
ἀγωνίζομαι,340
ἡσσάομαι,340
μέλω,340
φθορά,340
εἰσφέρω,340
ὀργίζω,339
φρόνιμος,339
κοινωνέω,338
ἑκατόν,337
πολιτεύω,337
ἐκκλησία,337
περιέχω,337
θνητός,337
μέλος,337
ἐράω,337
Πελοπόννησος,336
οὐδέτερος,336
συνθήκη,336
συλλαμβάνω,335
σπονδή,335
καταλύω,334
ὑστεραῖος,334
θυμός,334
θέσις,333
ἀπολαμβάνω,332
συντίθημι,332
ὕβρις,332
κάμνω,332
ἰσχύς,331
κοῖλος,331
κλύω,331
τυραννίς,330
ἐρῆμος,329
κακία,329
τελευταῖος,328
ὅσιος,328
ἀπαγγέλλω,327
δόρυ,327
γραφή,327
κέρας,326
ἀέκων,326
μέτρον,325
αἱρετός,325
ἐξαιρέω,324
τιμωρία,324
Σικελία,323
ἀμελέω,323
πρόσειμι,323
ἑτοῖμος,321
βιάζω,320
συμμείγνυμι,320
πότερος,320
βαίνω,319
πίστις,318
δοξάζω,317
ῥίς,317
προσάγω,316
χρεία,315
διατίθημι,315
διαβάλλω,315
Σκύθης,315
πόσις,315
φυσικός,315
ἐλπίζω,314
παρακαλέω,314
δραχμή,313
πεδίον,313
συμμαχία,312
συνέρχομαι,312
ἱμάτιον,312
ἀναμιμνῄσκω,312
πήγνυμι,312
γνώριμος,312
παραπλήσιος,311
ἀδικία,311
ἀλγέω,311
ἑταῖρος,311
συνάγω,310
ἀνθρώπινος,309
διαβαίνω,309
εὐδαιμονία,309
τείνω,309
Ξέρξης,308
εὔνοια,308
κῆρυξ,308
οἰκέτης,308
ὅσος,308
πικρός,308
μαλθακός,308
ἐλέγχω,307
τεσσαράκοντα,305
παράδειγμα,304
αἰτιάομαι,304
φροντίζω,303
ἐλευθερία,302
ὑπερέχω,302
στάσις,301
πρόσωπον,301
δέρμα,301
ἀθρόος,300
Ἀπόλλων,300
ὄλλυμι,300
φύλαξ,300
συμπέρασμα,300
προσπίπτω,299
Ἴων,299
μῦθος,299
ἀδίκημα,298
Ὅμηρος,297
μοῖρα,297
ποιητικός,297
ζημία,296
ἐννοέω,296
σπουδάζω,296
χυλός,296
Ἀσία,295
λαμπρός,294
ἐξαμαρτάνω,294
Λακεδαίμων,293
ὑποτίθημι,293
πληρόω,292
διπλάσιος,291
ἀκοή,290
ἀποδέχομαι,290
φιλοσοφία,290
ᾠόν,290
ναυτικός,289
ὑστέρα,289
ἀφανίζω,288
ἐπιτήδευμα,287
νόμιμος,287
θρίξ,284
στῆθος,284
ἄκρος,284
αὐτόματος,284
σφέτερος,283
Ἀλκιβιάδης,283
ἄνθος,282
ἄνεμος,281
ὠφέλιμος,280
λίμνη,280
ξηραίνω,280
καταφρονέω,280
ἔριον,280
ἀνέχω,279
ἐπιεικής,279
τύπτω,279
φυτόν,279
χωρίζω,279
ἄδηλος,277
ἕδρα,277
περιγίγνομαι,276
κέρδος,275
σύγκειμαι,275
δῶμα,275
ὁρισμός,275
χολώδης,274
ἔλεγχος,273
κάθαρσις,273
σπουδή,272
ῥήτωρ,272
περισσός,272
ἐκδίδωμι,271
καινός,271
πληγή,271
σύνοιδα,270
αὔξησις,270
πορίζω,270
διατρίβω,270
διοικέω,269
ἀποπέμπω,268
ἀνατέλλω,268
μουσικός,267
Ἀγησίλαος,267
ποιός,267
Ἄργος,266
χρυσός,266
ἔαρ,266
θερμότης,266
ἀπολύω,265
δῶρον,265
μηρός,265
προαίρεσις,265
χρύσεος,264
θάπτω,264
ἔχθρα,264
καταβαίνω,264
Ξενοφῶν,264
ἐθίζω,263
παρασκευή,262
βασιλεία,262
ἔπαινος,262
ἔθος,262
λογισμός,262
ἀσπίς,262
ἑφθός,262
νούσημα,262
ἀρκέω,261
πεντήκοντα,260
θεραπεία,260
ἀκίνητος,260
φθέγγομαι,260
εἰσοράω,260
δανείζω,260
μνήμη,259
διάφορος,259
ἀπολογέομαι,259
προσαγορεύω,259
σιγάω,259
ὗς,259
ἀπεργάζομαι,259
ἕξ,258
καθεύδω,258
νομοθετέω,258
φοβερός,257
Πειραιεύς,257
Φωκεύς,257
ὀδούς,256
ὄχλος,255
σεμνός,255
δεῖπνον,255
ἐγκέφαλος,255
κλύζω,255
κτῆμα,254
ἐπέχω,253
χρεών,253
ἐξάγω,253
χαλκός,253
ἠρεμέω,253
πλήρης,252
ὑπισχνέομαι,252
μαίνομαι,252
μορφή,252
περιφέρεια,252
ἀνίημι,251
κατηγορία,251
δάκρυον,251
ἐμέω,251
ἐκπέμπω,250
ἀναλαμβάνω,250
μάθημα,250
τετράπους,250
ἄθλιος,250
παρθένος,250
ὑπόθεσις,250
πολιορκέω,249
βωμός,249
παραλείπω,249
ἀθάνατος,249
ἱερόν,248
ναυμαχία,248
ἄγγελος,248
ψόφος,248
γῆρας,248
στερητικός,248
ἀποστέλλω,247
ὠφέλεια,246
παρίστημι,246
ἐπιλαμβάνω,246
πλευρά,246
ἱδρώς,246
προσδέω,245
διαφεύγω,245
περαίνω,245
ἤπειρος,244
διαλείπω,244
γαμέω,244
κοινωνία,244
